date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-11-11,3948.62,3948.62,3902.98,3897.55,94155624.0,-70.03,-1.76,3971.11,3947.427,3923.483,97748459.2,94047030.4,85782658.4
2019-11-08,4017.67,4022.04,3973.01,3971.57,97106944.0,-18.86,-0.47,3986.138,3949.788,3925.996,99756105.6,94372070.4,87194557.6
2019-11-07,3984.55,4005.38,3991.87,3975.55,87254896.0,6.99,0.17,3982.014,3942.166,3922.932,100472640.0,92406737.6,87009839.2
2019-11-06,4006.33,4007.5,3984.88,3973.78,97312952.0,-17.93,-0.45,3960.99,3930.046,3917.071,100364569.6,90814705.6,86608228.8
2019-11-05,3982.12,4030.64,4002.81,3970.87,112911880.0,24.69,0.62,3942.26,3918.666,3909.989,96476563.2,88103272.8,85535306.8
2019-11-04,3964.01,3985.36,3978.12,3964.01,104193856.0,25.73,0.65,3923.744,3907.973,3901.732,90345601.6,83703940.8,83722605.6
2019-11-01,3883.81,3956.08,3952.39,3876.42,100689616.0,65.64,1.69,3913.438,3898.245,3893.553,88988035.2,80702847.2,81809478.6
2019-10-31,3906.86,3907.15,3886.75,3878.88,86714544.0,-4.48,-0.12,3902.318,3889.944,3888.566,84340835.2,78866000.0,80475195.0
2019-10-30,3904.72,3908.1,3891.23,3883.45,77872920.0,-19.0,-0.49,3899.102,3893.791,3886.285,81264841.6,76680920.0,81274383.0
2019-10-29,3929.71,3932.37,3910.23,3910.23,82257072.0,-16.36,-0.42,3895.072,3896.937,3885.273,79729982.4,77216598.4,81856778.6
2019-10-28,3904.98,3927.8,3926.59,3897.82,97406024.0,29.8,0.77,3892.202,3899.539,3884.815,77062280.0,77518286.4,82133086.6
2019-10-25,3871.77,3899.72,3896.79,3849.03,77453616.0,26.12,0.68,3883.052,3902.204,3883.019,72417659.2,80017044.8,81964596.6
2019-10-24,3877.92,3890.2,3870.67,3852.58,71334576.0,-0.41,-0.01,3877.57,3903.698,3884.962,73391164.8,81612940.8,83264713.8
2019-10-23,3892.68,3901.42,3871.08,3862.2,70198624.0,-24.8,-0.64,3888.48,3904.095,3887.647,72096998.4,82401752.0,83997196.6
2019-10-22,3896.31,3897.44,3895.88,3870.55,68918560.0,15.04,0.39,3898.802,3901.311,3889.597,74703214.4,82967340.8,84590073.0
2019-10-21,3865.34,3884.74,3880.84,3856.04,74182920.0,11.46,0.3,3906.876,3895.491,3889.364,77974292.8,83741270.4,86828861.0
2019-10-18,3935.42,3940.54,3869.38,3864.97,82321144.0,-55.84,-1.42,3921.356,3888.86,3893.208,87616430.4,82916110.0,88632705.4
2019-10-17,3929.39,3935.81,3925.22,3913.92,64863744.0,2.53,0.06,3929.826,3887.187,3898.358,89834716.8,82084390.0,90028711.8
2019-10-16,3939.28,3964.05,3922.69,3919.02,83229704.0,-13.56,-0.34,3919.71,3878.779,3898.602,92706505.6,85867846.0,93365268.2
